+--------+--------+--------+--------+--------+--------+--------+--------+--------+--------+--------+--------+--------+--------+--------+--------+--------+--------+--------+--------+--------+--------+
| CYCLE  | FETCH  | DECODE | EXECUT | MEMORY | WRITE  |   r0   |   r1   |   r2   |   r3   |   r4   |   r5   |   r6   |   r7   |   r8   |   r9   |  r10   |  r11   |  r12   |  r13   |   sp   |   ra   |
|    125 | I30    | I29    |  ....  | I28    |  ....  |       0|       0|       0|       0|       0|       8|       0|       0|       0|       0|       0|       0|       0|       0|    ffb4|       0|
|    126 | I30    | I29    |  ....  |  ....  | I28    |       0|       0|       0|       0|       0|       8|       0|       0|       0|       0|       0|       0|       0|       0|    ffb4|       0|
|    127 | I30    | I29    |  ....  |  ....  |  ....  |       0|       0|       0|       0|       0|       8|       0|       0|       0|       0|       0|       0|       0|       0|    fffc|       0|
|    128 | I31    | I30    | I29    |  ....  |  ....  |       0|       0|       0|       0|       0|       8|       0|       0|       0|       0|       0|       0|       0|       0|    fffc|       0|
|    129 | I32    | I31    | I30    | I29    |  ....  |       0|       0|       0|       0|       0|       8|       0|       0|       0|       0|       0|       0|       0|       0|    fffc|       0|
|    130 | I33    | I32    | I31    | I30    | I29    |       0|       0|       0|       0|       0|       8|       0|       0|       0|       0|       0|       0|       0|       0|    fffc|       0|
|    131 | I34    | I33    | I32    | I31    | I30    |       0|       0|       0|       0|       0|       8|       0|       0|       0|       0|       0|       0|       0|       0|    fffc|       0|
|    132 | I35    | I34    | I33    | I32    | I31    |       0|       0|       0|       0|       0|       8|       0|       0|       0|       0|       0|       0|       0|       0|    fffc|       0|
|    133 | I36    | I35    | I34    | I33    | I32    |       0|       0|       0|       0|       0|       8|       0|       0|       0|       0|       0|       0|       0|       0|    fffc|       0|
|    134 | I37    | I36    | I35    | I34    | I33    |       0|       0|       0|       0|       0|       8|       0|       0|       0|       0|       0|       0|       0|       0|    fffc|       0|
|    135 | I38    | I37    | I36    | I35    | I34    |       0|       0|       0|       0|       0|       8|       0|       0|       0|       0|       0|       0|       0|       0|    fffc|       0|
|    136 | I39    | I38    | I37    | I36    | I35    |       0|       0|       0|       0|       0|       8|       0|       0|       0|       0|       0|       0|       0|       0|    fffc|       0|
|    137 | I40    | I39    | I38    | I37    | I36    |       0|       0|       0|       0|       0|       8|       0|       0|       0|       0|       0|       0|       0|       0|    fffc|       0|
